,Date,Position,Track Name,Artist,Featured Artists
92,2017-01-07,29,Rockabye - Acoustic Version,The Mayries,
93,2017-01-07,47,Janet,Berhana,
94,2017-01-07,49,Let Me Love You (feat. Chris Crone),SJUR,Chris Crone
95,2017-01-07,50,I Don't Wanna Miss You,Twin Peaks,
96,2017-01-08,16,All That Remains,VVE,
97,2017-01-08,21,Beacon,Jimi Cravity,
98,2017-01-08,24,Far,"Offramp, Moorea",
99,2017-01-08,35,"Also sprach Zarathustra, Op.30: 1. Prelude (Sonnenaufgang)","Richard Strauss, Berliner Philharmoniker, Herbert von Karajan",
100,2017-01-09,1,Shape of You,Ed Sheeran,
101,2017-01-09,2,Castle on the Hill,Ed Sheeran,
102,2017-01-09,5,Gays 4 Donald,Pink Guy,
103,2017-01-09,6,Don't Leave,"Snakehips, MØ",
104,2017-01-09,9,Say Something Loving,The xx,
105,2017-01-09,10,Name For You,The Shins,
106,2017-01-09,11,I Have a Gun,Pink Guy,
107,2017-01-09,13,Stfu,Pink Guy,
108,2017-01-09,17,I Do It for My Hood,Pink Guy,
109,2017-01-09,18,Dumplings,Pink Guy,
110,2017-01-09,19,Be Inspired,Pink Guy,
111,2017-01-09,21,Hot Nickel Ball on a Pussy,Pink Guy,
112,2017-01-09,23,Drinkin' Too Much,Sam Hunt,
113,2017-01-09,25,She's So Nice,Pink Guy,
114,2017-01-09,26,Funeral Pyre,Julien Baker,
115,2017-01-09,27,Damn (feat. Tory Lanez),Trina,Tory Lanez
116,2017-01-09,28,"One Earth, One People, One Love (From Sun Rings)","Terry Riley, Kronos Quartet",
117,2017-01-09,29,Little Bubble - edit,Dirty Projectors,
118,2017-01-09,30,Sorrow (feat. Jenny Lewis),Paul Shaffer And The World's Most Dangerous Band,Jenny Lewis
119,2017-01-09,31,So Close,Andrew McMahon in the Wilderness,
120,2017-01-09,32,Hand on My Gat,Pink Guy,
121,2017-01-09,33,Holding You,Great Good Fine Ok,
122,2017-01-09,34,Hard Liquor,SOHN,
123,2017-01-09,36,Small Dick,Pink Guy,
124,2017-01-09,38,SMD,Pink Guy,
125,2017-01-09,39,Feel Me,"Tyga, Kanye West",
126,2017-01-09,41,Came Up (feat. Post Malone & Key!) - Casper & B. Remix,"Flosstradamus, FKi 1st, graves",Post Malone & Key!
127,2017-01-09,43,Wild Child (feat. Jake Torrey),Lupe Fiasco,Jake Torrey
128,2017-01-09,44,Open,San Fermin,
129,2017-01-09,45,Please Stop Touching My Willy,Pink Guy,
130,2017-01-09,49,Rice Balls,Pink Guy,
131,2017-01-09,50,Club Banger 3000,Pink Guy,
132,2017-01-10,46,• TEMPTED,Jazz Cartier,
133,2017-01-10,48,Our City (feat. Emilie Adams),TRXD,Emilie Adams
134,2017-01-10,49,Party In The Hills,"Steven Malcolm, Andy Mineo, Hollyn",
135,2017-01-11,44,Islands,Zola Blood,
136,2017-01-11,48,Into You,Sondre Lerche,
137,2017-01-11,49,Ricochet,STARSET,
138,2017-01-12,34,Easy Love,Dunisco,
139,2017-01-12,49,Take on the World,You Me At Six,
140,2017-01-13,11,Swngn,MarcLo,
141,2017-01-13,20,What's That Perfume That You Wear?,Jens Lekman,
142,2017-01-13,26,Holding You (Stan Sax Edit),"Slowz, StanSax",
143,2017-01-13,37,Don't Be Long,Army of Bones,
144,2017-01-13,38,Crazy Beautiful Life,"Thomas Hien, Scott Chesak",
145,2017-01-13,40,Bleeding In The Blur,Code Orange,
146,2017-01-13,42,Crawl,Gabriel Garzón-Montano,
147,2017-01-13,44,Shakedown,Valerie June,
148,2017-01-14,15,VIRAL,James Graham,
149,2017-01-14,48,Meme Machine,Pink Guy,
150,2017-01-16,1,I Have a Dream - The Complete Speech of Martin Luther King Jr.,"Martin Luther King, Jr.",
151,2017-01-16,2,We Shall Overcome,"Martin Luther King, Jr.",
152,2017-01-16,3,Issues,Julia Michaels,
153,2017-01-16,4,All About Me,Syd,
154,2017-01-16,6,Paris,The Chainsmokers,
155,2017-01-16,8,Sex for Breakfast,Life of Dillon,
156,2017-01-16,9,I Miss You,"Grey, Bahari",
157,2017-01-16,10,(No One Knows Me) Like the Piano,Sampha,
158,2017-01-16,11,No Reason,"Bonobo, Nick Murphy",
159,2017-01-16,13,Not Afraid Anymore,Halsey,
160,2017-01-16,14,Despacito (Featuring Daddy Yankee),Luis Fonsi,
161,2017-01-16,15,Jump (feat. Gizzle),Lupe Fiasco,Gizzle
162,2017-01-16,25,Good Things,Jonathan Roy,
163,2017-01-16,27,I Dare You,The xx,
164,2017-01-16,29,Dangerous,The xx,
165,2017-01-16,31,I Just Wanna,Big Wild,
166,2017-01-16,32,Into The Ether,Leif Vollebekk,
167,2017-01-16,34,Feeling Alive,Earl St. Clair,
168,2017-01-16,36,Lips,The xx,
169,2017-01-16,38,Take What You Want (feat. 5 Seconds of Summer),ONE OK ROCK,5 Seconds of Summer
170,2017-01-16,39,Down in Flames,Ella Vos,
171,2017-01-16,40,Repeat,"Allan Rayman, Jessie Reyez",
172,2017-01-16,42,Say It - Illenium Remix,"Flume, Tove Lo",
173,2017-01-16,44,Now & Then,Sjowgren,
174,2017-01-16,45,Up and Up,Lennon & Maisy,
175,2017-01-16,48,Back For Me,Electric Guest,
176,2017-01-16,49,U-RITE,THEY.,
177,2017-01-16,50,T-Shirt,Migos,
178,2017-01-17,11,Star Roving,Slowdive,
179,2017-01-17,30,Sweet Child,"Alex Cruz, Gabbi Lieve",
180,2017-01-17,37,Say It (feat. Tove Lo) [Illenium Remix],Flume,Tove Lo
181,2017-01-17,43,Go Berzerk,"Pegboard Nerds, Quiet Disorder",
182,2017-01-17,44,Doing Good,Milky Chance,
183,2017-01-17,47,Training Wheels,Slowcoaching,
184,2017-01-17,50,Blackout,Julie Bergan,
185,2017-01-18,4,Take Me,Miso,
186,2017-01-18,7,Maybe Now,"BLYNE, Melisa Whiskey",
187,2017-01-18,11,Life (feat. Dave B),"Ivy Sole, Dave B.",Dave B
188,2017-01-18,14,Somos Anormales,Residente,
189,2017-01-18,15,I'm Good,Boy Willows,
190,2017-01-18,19,Lilac,Julius,
191,2017-01-18,20,Games,"Palais, Luna May",
192,2017-01-18,30,Off That,"Ninetyfour, Jahmal Gittens",
193,2017-01-18,31,i can't move,autumn keys,
194,2017-01-18,46,Down,Marian Hill,
195,2017-01-18,47,021,"Emir Hermono, A. Nayaka, Rayi Putra",
196,2017-01-18,50,Drew Barrymore,SZA,
197,2017-01-19,20,Google Maps Holiday,s. lyre,
198,2017-01-19,26,Choqlate Boy,Parallelephants,
199,2017-01-19,27,All in All,Superjava,
200,2017-01-19,31,Burn It Up,HIGH HØØPS,
201,2017-01-19,45,IDK,"Lil Dads, Rexx Life Raj, Ymtk, Caleborate, 1-O.A.K.",
202,2017-01-19,47,Bambro Koyo Ganda,"Bonobo, Innov Gnawa",
203,2017-01-19,50,Saved,Khalid,
204,2017-01-20,46,Michigan,Barrie,
205,2017-01-20,50,One Day Stand,itsnk,
206,2017-01-21,18,The Future is Female,Madame Gandhi,
207,2017-01-21,32,How Was It?,High Sunn,
208,2017-01-21,33,I Got the Juice (feat. Yung Pinch & Twon),D Stoned,Yung Pinch & Twon
209,2017-01-21,35,You're the One That I Want,Charlotte Lawrence,
210,2017-01-22,20,Straight Outta Vagina (feat. Desi Mo & Leikeli47),Pussy Riot,Desi Mo & Leikeli47
211,2017-01-22,36,Let Me Pray,Kim,
212,2017-01-22,42,Tomboy,Princess Nokia,
213,2017-01-23,1,Burning Man,"WATT, Post Malone",
214,2017-01-23,3,On + Off,Maggie Rogers,
215,2017-01-23,4,Moving On and Getting Over,John Mayer,
216,2017-01-23,5,Sooner Or Later,Aaron Carter,
217,2017-01-23,6,Electric (feat. Khalid),Alina Baraz,Khalid
218,2017-01-23,7,Hot Thoughts,Spoon,
219,2017-01-23,8,Make War,From First To Last,
220,2017-01-23,15,Too Soon (feat. Maty Noyes),Vanic,Maty Noyes
221,2017-01-23,16,I Give You Power,"Arcade Fire, Mavis Staples",
222,2017-01-23,17,High For Hours,J. Cole,
223,2017-01-23,22,Finessin The Rhythm,"FOREVER ANTi PoP, David Sabastian",
224,2017-01-23,25,I Can,"HoodRich Pablo Juan, Migos",
225,2017-01-23,26,Toxic,"Eden Prince, Marco Foster",
226,2017-01-23,29,You're Gonna Live Forever in Me,John Mayer,
227,2017-01-23,30,Land of the Free,Joey Bada$$,
228,2017-01-23,31,Wait,NoMBe,
229,2017-01-23,33,U MAKE ME,ISAAC LEE,
230,2017-01-23,35,Changing,John Mayer,
231,2017-01-23,36,Ordinary World,Joy Williams,
232,2017-01-23,49,You Look Good,Lady A,
233,2017-01-23,50,Crying On The Bathroom Floor,MUNA,
234,2017-01-24,7,Nevermind,Dennis Lloyd,
235,2017-01-24,21,On the Other Side,Chase McBride,
236,2017-01-24,41,Alibi,Clans,
237,2017-01-24,44,Bad Behavior,The Maine,
238,2017-01-24,45,Running Back (feat. Lil Wayne),Wale,Lil Wayne
239,2017-01-25,1,Paris,LE SINNER,
240,2017-01-25,3,Stay the Night,"SCARFɆ, VI NE",
241,2017-01-25,10,Walking,Dom McAllister,
242,2017-01-25,15,"Temple, Mosque, Church",Slow Joe & the Ginger Accident,
243,2017-01-25,16,Sixteen,Seth XVI,
244,2017-01-25,20,Find the Love (feat. Borahm Lee),Late Night Radio,Borahm Lee
245,2017-01-25,21,Leaves,Justin Carter,
246,2017-01-25,22,Roots // Habit,Common Souls,
247,2017-01-25,36,Straight Up,C5,
248,2017-01-25,41,Nede,"Robin T, Frida",
249,2017-01-26,40,Want You More,"traila $ong, Dion",
250,2017-01-26,46,Shock Horror,"Shy Luv, JONES",
251,2017-01-26,49,Oh My Love,Corniglia,
252,2017-01-26,50,Too Young,Lilo Key,
253,2017-01-27,30,You Left the Door Open,sophie meiers,
254,2017-01-27,38,Look at Me!,XXXTENTACION,
255,2017-01-27,44,Love Yourself,Dashboard Confessional,
256,2017-01-28,32,Come to a Stop (feat. Kora),"Clueless Kit, køra",Kora
257,2017-01-28,39,Lover,Sam Seg,
258,2017-01-28,49,Cherry Wine,Overcoats,
259,2017-01-29,40,Can You Stand The Rain,New Edition,
260,2017-01-29,46,Stuck in the Middle,SiDizen King,
261,2017-01-29,49,Black Beatles - Acoustic,The Mayries,
262,2017-01-30,1,Show You The Way,"Thundercat, Michael McDonald, Kenny Loggins",
263,2017-01-30,2,Automaton,Jamiroquai,
264,2017-01-30,3,Pure Comedy,Father John Misty,
265,2017-01-30,5,Body,Syd,
266,2017-01-30,6,Sultan's Curse,Mastodon,
267,2017-01-30,9,Scared to Be Lonely,"Martin Garrix, Dua Lipa",
268,2017-01-30,12,Cave Me In,"Gallant, Tablo, Eric Nam",
269,2017-01-30,14,Old School,Urban Cone,
270,2017-01-30,15,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,PARTYNEXTDOOR & Nicki Minaj
271,2017-01-30,16,Darling,Real Estate,
272,2017-01-30,18,Warrior (feat. LIGHTS),Steve James,LIGHTS
273,2017-01-30,19,Tightrope,LPX,
274,2017-01-30,21,Shutter Island,Jessie Reyez,
275,2017-01-30,23,I'm Better (feat. Lamb),Missy Elliott,Lamb
276,2017-01-30,24,Sunday Finest,Sir Rosevelt,
277,2017-01-30,26,Quit You,"Lost Kings, Tinashe",
278,2017-01-30,30,Keep Running,Tei Shi,
279,2017-01-30,31,Anymore,Goldfrapp,
280,2017-01-30,33,Blessings (feat. Ty Dolla $ign),Lecrae,Ty Dolla $ign
281,2017-01-30,34,Unbound,Ásgeir,
282,2017-01-30,35,Nobody,alxxa,
283,2017-01-30,36,Stay Lonely,Mags Duval,
284,2017-01-30,38,Daddy,Rotana,
285,2017-01-30,47,So Good,"Zara Larsson, Ty Dolla $ign",
286,2017-01-30,48,Trouble,"R3HAB, VÉRITÉ",
287,2017-01-31,1,SFSG,UTAH,
288,2017-01-31,4,Understand,Julian Lamadrid,
289,2017-01-31,39,Wayfaring Stranger,Alextbh,
290,2017-01-31,49,13,Allan Rayman,
291,2017-01-31,50,Work The Middle,Alex Aiono,
292,2017-02-01,1,Hooked,Simon On The Moon,
293,2017-02-01,25,All Your Love,Jakob,
294,2017-02-01,32,Tú Sí Sabes Quererme,"Natalia Lafourcade, Los Macorinos",
295,2017-02-01,38,I Have Known Rivers,Langston Hughes,
296,2017-02-01,43,Care,TEMPOREX,
297,2017-02-01,48,Skin,Rag'n'Bone Man,
298,2017-02-01,49,Vibrations,Maejor,
299,2017-02-02,4,Little Taste of Heaven,Leach,
300,2017-02-02,6,Auburn,Brahny,
301,2017-02-02,23,Gone,Linus Hablot,
302,2017-02-02,38,Restart,BNQT,
303,2017-02-03,11,Paper Shields,Virginia Man,
304,2017-02-03,15,Waving Through A Window,"Ben Platt, Original Broadway Cast of Dear Evan Hansen",
305,2017-02-03,18,Me 4 Prez,"Terrell Morris, Free n Losh",
306,2017-02-03,19,The Heat (I Wanna Dance with Somebody),"Ralph Felix, SDJM",
307,2017-02-03,25,Dust,Jenna Kyle,
308,2017-02-03,29,Shirley Chisholm - 1972,Shirley Chisholm,
309,2017-02-03,40,Get Your Shit Together,Rothstein,
310,2017-02-03,43,Thank You,Barack Obama,
311,2017-02-03,44,Foreign Fields,Doji,
312,2017-02-03,50,Negai,Zoology,
313,2017-02-04,5,Requiem,"Laura Dreyfuss, Michael Park, Jennifer Laura Thompson",
314,2017-02-04,6,Young Blood,Noah Kahan,
315,2017-02-04,19,Space Program,Wanda Sykes,
316,2017-02-04,39,Fireplace,Abe M Beats,
317,2017-02-05,5,Something for Your M.I.N.D.,Superorganism,
318,2017-02-06,1,Lions,Skip Marley,
319,2017-02-06,2,No Favors,"Big Sean, Eminem",
320,2017-02-06,3,Ran,Future Islands,
321,2017-02-06,4,Body Like A Back Road,Sam Hunt,
322,2017-02-06,5,Digital Love (feat. Hailee Steinfeld),Digital Farm Animals,Hailee Steinfeld
323,2017-02-06,7,My Old Man,Mac DeMarco,
324,2017-02-06,9,Believer,Imagine Dragons,
325,2017-02-06,10,Living Out Loud,"Brooke Candy, Sia",
326,2017-02-06,13,Thief,Ansel Elgort,
327,2017-02-06,14,Just Words,Skout,
328,2017-02-06,15,Honeymoon Phase,TYSM,
329,2017-02-06,17,BagBak,Vince Staples,
330,2017-02-06,22,Reverse Faults,Sampha,
331,2017-02-06,25,Where's the Revolution,Depeche Mode,
332,2017-02-06,28,"Beauty and the Beast - From ""Beauty and the Beast""","Ariana Grande, John Legend",
333,2017-02-06,30,This Old Dog,Mac DeMarco,
334,2017-02-06,32,You Will Be Found,"Ben Platt, Kristolyn Lloyd, Will Roland, Laura Dreyfuss, Original Broadway Cast of Dear Evan Hansen",
335,2017-02-06,34,Ballad of the Dying Man,Father John Misty,
336,2017-02-06,35,Know,Syd,
337,2017-02-06,36,White Noise (R3hab Remix),Ella Vos,
338,2017-02-06,37,Rich White Girls,Mansionz,
339,2017-02-06,39,Love Is Mystical,Cold War Kids,
340,2017-02-06,41,I'll Be Fine,CONNALLY,
341,2017-02-06,42,Over (feat. 6LACK),Syd,6LACK
342,2017-02-06,43,Plastic 100°C,Sampha,
343,2017-02-06,44,Nothin to Somethin,Syd,
344,2017-02-06,45,Goodbye,"filous, Mat Kearney",
345,2017-02-06,46,Shot Down,Khalid,
346,2017-02-06,49,Catch Me Outside How Bout Dah (#CashMeOutside),"DJ Suede The Remix God, Kyle Edwards",
347,2017-02-06,50,The Scientist,Bipolar Sunshine,
348,2017-02-07,2,Blood Ring,The Bishops,
349,2017-02-07,15,Sixty Charisma Scented Blackbirds,Gabriel Mayers,
350,2017-02-07,26,Fresh Fruit,Carter Reeves,
351,2017-02-07,39,Rich White Girls,mansionz,
352,2017-02-07,47,Big Picture,London Grammar,
353,2017-02-07,50,Show Yourself,Mastodon,
354,2017-02-08,3,Goosebumps,"Texas Drew, Dani Rae Vaughn",
355,2017-02-08,5,So Young (feat. J-Clark),SWAN,J-Clark
356,2017-02-08,8,"Changed My Number, Pt. 2",L.A. VanGogh,
357,2017-02-08,15,Onward,"Flakes, cehryl",
358,2017-02-08,19,Get Along,New Venusians,
359,2017-02-08,23,Guts,Tall Friend,
360,2017-02-08,35,Do You - Joe Kold Remix,BINK,
361,2017-02-08,37,Lost Love,"Fourth, Biggie BK",
362,2017-02-08,42,Solitude,Alpenglow,
363,2017-02-08,43,Cash Me Outside (#CashmeOutside),DJ Suede The Remix God,
364,2017-02-08,50,For Forever,Ben Platt,
365,2017-02-09,24,Overtime,DAISY,
366,2017-02-10,6,Trouble,Moonshine Man,
